Date,Asset,Amount,Price per unit (EUR),Value (EUR),Transaction Type,Label
2023-01-06 01:00,XRP,0.01,0.33,0.00,Receive,Reward
2023-01-06 01:00,ALGO,0.00,0.18,0.00,Receive,Reward
2023-01-06 01:00,SOL,0.00,12.83,0.01,Receive,Reward
2023-01-06 01:00,BNB,0.00,246.83,0.01,Receive,Reward
2023-01-06 01:00,ADA,0.09,0.26,0.02,Receive,Reward
2023-01-06 01:00,BNB,0.00,246.85,0.00,Receive,Reward
2023-01-06 01:00,DOT,0.00,4.45,0.01,Receive,Reward
2023-01-06 01:00,ADA,0.02,0.26,0.00,Receive,Reward
2023-01-06 01:00,ADA,0.00,0.26,0.00,Receive,Reward
2023-01-06 01:00,AXS,0.04,6.48,0.25,Receive,Reward
2023-01-06 01:00,BNB,0.00,246.85,0.01,Receive,Reward
2023-01-06 01:00,USDT,0.05,0.95,0.05,Receive,Reward
2023-01-06 01:00,MATIC,0.00,0.76,0.00,Receive,Reward
2023-01-06 01:00,DOT,0.00,4.45,0.00,Receive,Reward
2023-01-06 01:00,AVAX,0.00,11.19,0.00,Receive,Reward
2023-01-06 01:00,MATIC,0.01,0.76,0.01,Receive,Reward
2023-01-06 01:00,BTC,0.00,16093.59,0.02,Receive,Reward
2023-01-06 01:00,SHIB,38.38,0.00,0.00,Receive,Reward
2023-01-06 01:00,BUSD,0.13,0.95,0.13,Receive,Reward
2023-01-06 01:00,AXS,0.00,6.48,0.01,Receive,Reward
2023-01-06 01:00,ADA,0.12,0.26,0.03,Receive,Reward
2023-01-06 01:00,LTC,0.00,72.22,0.00,Receive,Reward
2023-01-06 01:00,AXS,0.00,6.48,0.02,Receive,Reward
2023-01-06 01:00,SOL,0.00,12.83,0.01,Receive,Reward
2023-01-06 09:00,BETH,0.00,1167.35,0.07,Receive,Reward
2023-01-07 01:00,BNB,0.00,244.95,0.01,Receive,Reward
2023-01-07 01:00,ALGO,0.00,0.18,0.00,Receive,Reward
2023-01-07 01:00,AAVE,0.00,52.53,0.00,Receive,Reward
2023-01-07 01:00,DOT,0.00,4.39,0.00,Receive,Reward
2023-01-07 01:00,XRP,0.01,0.32,0.00,Receive,Reward
2023-01-07 01:00,AXS,0.04,6.46,0.25,Receive,Reward
2023-01-07 01:00,SOL,0.00,12.28,0.01,Receive,Reward
2023-01-07 01:00,USDT,0.03,0.94,0.03,Receive,Reward
2023-01-07 01:00,AXS,0.00,6.46,0.01,Receive,Reward
2023-01-07 01:00,ADA,0.25,0.26,0.06,Receive,Reward
2023-01-07 01:00,SAND,0.00,0.42,0.00,Receive,Reward
2023-01-07 01:00,DOT,0.01,4.37,0.04,Receive,Reward
2023-01-07 01:00,AXS,0.00,6.46,0.02,Receive,Reward
2023-01-07 01:00,ADA,0.02,0.26,0.00,Receive,Reward
2023-01-07 01:00,ADA,0.00,0.00,0.00,Receive,Reward
2023-01-07 01:00,DOT,0.01,4.37,0.03,Receive,Reward
2023-01-07 01:00,MATIC,0.01,0.76,0.01,Receive,Reward
2023-01-07 01:00,GAL,0.00,0.00,0.00,Receive,Reward
2023-01-07 01:00,BNB,0.00,245.08,0.00,Receive,Reward
2023-01-07 01:00,SOL,0.00,12.28,0.01,Receive,Reward
2023-01-07 01:00,DOT,0.00,4.37,0.01,Receive,Reward
2023-01-07 01:00,SOL,0.01,12.28,0.07,Receive,Reward
2023-01-07 01:00,MATIC,0.00,0.76,0.00,Receive,Reward
2023-01-07 01:00,AVAX,0.00,11.02,0.00,Receive,Reward
2023-01-07 01:00,ADA,0.09,0.26,0.02,Receive,Reward
2023-01-07 01:00,ADA,0.12,0.26,0.03,Receive,Reward
2023-01-07 01:00,MATIC,0.00,0.75,0.00,Receive,Reward
2023-01-07 01:00,BNB,0.00,244.93,0.01,Receive,Reward
2023-01-07 01:00,DOGE,0.04,0.07,0.00,Receive,Reward
2023-01-07 01:00,ETH,0.00,1184.45,0.00,Receive,Reward
2023-01-07 01:00,ADA,0.00,0.26,0.00,Receive,Reward
2023-01-07 01:00,SHIB,0.88,0.00,0.00,Receive,Reward
2023-01-07 01:00,DOT,0.00,4.37,0.01,Receive,Reward
2023-01-07 01:00,BUSD,0.13,0.94,0.13,Receive,Reward
2023-01-07 01:00,BTC,0.00,15886.25,0.02,Receive,Reward
2023-01-07 01:00,LTC,0.00,71.60,0.00,Receive,Reward
2023-01-07 01:00,SHIB,38.38,0.00,0.00,Receive,Reward
2023-01-07 09:00,BETH,0.00,1146.62,0.07,Receive,Reward
2023-01-08 01:00,ADA,0.00,0.00,0.00,Receive,Reward
2023-01-08 01:00,ADA,0.25,0.28,0.07,Receive,Reward
2023-01-08 01:00,AVAX,0.00,11.33,0.00,Receive,Reward
2023-01-08 01:00,MATIC,0.01,0.79,0.01,Receive,Reward
2023-01-08 01:00,USDT,0.02,0.94,0.02,Receive,Reward
2023-01-08 01:00,DOT,0.00,4.51,0.00,Receive,Reward
2023-01-08 01:00,GAL,0.00,0.00,0.00,Receive,Reward
2023-01-08 01:00,BTC,0.00,16060.40,0.02,Receive,Reward
2023-01-08 01:00,DOT,0.01,4.52,0.04,Receive,Reward
2023-01-08 01:00,AXS,0.04,6.76,0.26,Receive,Reward
2023-01-08 01:00,SHIB,0.88,0.00,0.00,Receive,Reward
2023-01-08 01:00,AXS,0.00,6.76,0.01,Receive,Reward
2023-01-08 01:00,ADA,0.00,0.28,0.00,Receive,Reward
2023-01-08 01:00,SOL,0.00,13.56,0.01,Receive,Reward
2023-01-08 01:00,BNB,0.00,257.79,0.01,Receive,Reward
2023-01-08 01:00,LTC,0.00,73.70,0.00,Receive,Reward
2023-01-08 01:00,ALGO,0.00,0.19,0.00,Receive,Reward
2023-01-08 01:00,AAVE,0.00,55.56,0.00,Receive,Reward
2023-01-08 01:00,DOT,0.01,4.52,0.03,Receive,Reward
2023-01-08 01:00,XRP,0.01,0.32,0.00,Receive,Reward
2023-01-08 01:00,MATIC,0.00,0.78,0.00,Receive,Reward
2023-01-08 01:00,SHIB,38.38,0.00,0.00,Receive,Reward
